timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-09T20:01:09.332998+00:00,,spark2-llamacpp-687e778,"spec=off,ctx=393216/12slots,PARITY",draftable,deepseek-v4-flash,1,512,1.0,0.95,12,27,0,,11168,180,62.04,5.45,29.9,5.22,4100.0,4350.0,27,180.4,usage,0,0,79.3,62.9,71.0,,2450.0,2483.0,none,45
2026-08-09T20:06:36.758353+00:00,,spark2-llamacpp-687e778,"spec=off,ctx=393216/12slots,PARITY",draftable,deepseek-v4-flash,2,512,1.0,0.95,12,25,0,,11249,180,62.49,5.51,26.31,5.24,4636.0,4942.0,25,179.3,usage,0,0,89.3,63.5,72.0,,2437.0,2483.0,none,44
2026-08-09T20:11:41.638460+00:00,,spark2-llamacpp-687e778,"spec=off,ctx=393216/12slots,PARITY",draftable,deepseek-v4-flash,3,512,1.0,0.95,12,25,0,,11419,180,63.44,5.53,27.81,5.3,4223.0,4677.0,25,179.9,usage,0,0,85.7,64.3,70.0,,2424.0,2483.0,none,40
