timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-15T14:12:14.900793+00:00,34e31d9,ablit-q128-target,target-only ctx16384 1slot,draftable,default,1,512,1.0,0.95,1,3,0,,1329,180,7.38,16.26,3.5,7.97,32826.0,,3,60.4,usage,0,0,75.2,45.9,69.0,,2463.0,2496.0,none,36
2026-08-15T14:17:04.046966+00:00,34e31d9,ablit-q128-target,target-only ctx16384 1slot,draftable,default,2,512,1.0,0.95,1,4,0,,1319,180,7.33,16.25,3.88,7.97,29885.0,,4,60.5,usage,0,0,58.9,45.9,75.0,,2457.0,2483.0,none,42
2026-08-15T14:21:20.081222+00:00,34e31d9,ablit-q128-target,target-only ctx16384 1slot,draftable,default,3,512,1.0,0.95,1,3,0,,1330,180,7.39,16.31,3.52,7.99,32846.0,,3,60.4,usage,0,0,74.9,45.8,65.0,,2457.0,2496.0,none,36
