timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-17T08:31:25.730325+00:00,2a98821,k2-tuned,seqs12 graphs1-12 lpt1024 retention4096,draftable,deepseek-v4-flash-0731-exl3-k2,1,512,1.0,0.95,8,130,0,,3859,180,21.44,12.97,83.59,10.95,1483.0,1921.0,130,312.7,usage,0,0,90.0,83.1,81.0,,2353.0,2463.0,none,22
2026-08-17T08:35:28.308392+00:00,2a98821,k2-tuned,seqs12 graphs1-12 lpt1024 retention4096,draftable,deepseek-v4-flash-0731-exl3-k2,2,512,1.0,0.95,8,119,0,,3921,180,21.78,13.24,87.27,11.6,1412.0,1931.0,119,313.0,usage,0,0,90.0,82.0,81.0,,2340.0,2444.0,none,23
2026-08-17T08:39:16.459219+00:00,2a98821,k2-tuned,seqs12 graphs1-12 lpt1024 retention4096,draftable,deepseek-v4-flash-0731-exl3-k2,3,512,1.0,0.95,8,124,0,,3840,180,21.33,13.19,81.36,11.13,1489.0,1913.0,124,315.0,usage,0,0,89.7,85.2,82.0,,2359.0,2450.0,none,22
