timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-22T13:09:00.801775+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,adversarial,deepseek-v4-flash-dspark,1,512,1.0,0.95,1,12,0,,2750,180,15.28,34.19,243.14,33.6,245.0,282.0,12,64.0,usage,0,0,,,,,,,,0
2026-08-22T13:13:15.255207+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,adversarial,deepseek-v4-flash-dspark,1,512,1.0,0.95,8,40,0,,8398,180,46.66,12.43,108.35,12.26,599.0,700.0,40,167.1,usage,0,0,,,,,,,,0
2026-08-22T13:17:00.751035+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,adversarial,deepseek-v4-flash-dspark,2,512,1.0,0.95,1,13,0,,2750,180,15.28,33.4,222.01,32.89,265.0,296.0,13,63.9,usage,0,0,,,,,,,,0
2026-08-22T13:21:11.224067+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,adversarial,deepseek-v4-flash-dspark,2,512,1.0,0.95,8,40,0,,8398,180,46.66,12.65,108.83,12.46,597.0,695.0,40,167.0,usage,0,0,,,,,,,,0
2026-08-22T13:24:48.696881+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,adversarial,deepseek-v4-flash-dspark,3,512,1.0,0.95,1,12,0,,2706,180,15.03,32.89,238.76,32.47,267.0,287.0,12,64.5,usage,0,0,,,,,,,,0
2026-08-22T13:29:00.837058+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,adversarial,deepseek-v4-flash-dspark,3,512,1.0,0.95,8,40,0,,8408,180,46.71,12.67,105.05,12.45,598.0,702.0,40,167.6,usage,0,0,,,,,,,,0
