timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-22T05:57:37.023342+00:00,a1a786d,tp2-b12x-42b3a79,TP2 dspark-k5 recipe-defaults,adversarial,deepseek-ai/DeepSeek-V4-Flash-0731,1,512,1.0,0.95,1,0,26,2026-08-22T05:54:33.156900+00:00,0,180,0.0,,,,,,0,,,0,0,47.3,17.8,60.0,,2405.0,2502.0,none,35
2026-08-22T06:01:58.363333+00:00,a1a786d,tp2-b12x-42b3a79,TP2 dspark-k5 recipe-defaults,adversarial,deepseek-ai/DeepSeek-V4-Flash-0731,1,512,1.0,0.95,8,31,56,2026-08-22T05:58:08.682571+00:00,5819,180,32.33,11.2,34.49,10.39,2117.0,6521.0,31,181.9,usage,0,0,43.6,36.9,69.0,,2411.0,2496.0,none,42
2026-08-22T06:06:02.452900+00:00,a1a786d,tp2-b12x-42b3a79,TP2 dspark-k5 recipe-defaults,adversarial,deepseek-ai/DeepSeek-V4-Flash-0731,2,512,1.0,0.95,1,4,0,,896,180,4.98,9.43,93.17,9.28,918.0,,4,213.2,usage,0,0,46.2,43.3,72.0,,2476.0,2483.0,none,36
2026-08-22T06:10:41.766641+00:00,a1a786d,tp2-b12x-42b3a79,TP2 dspark-k5 recipe-defaults,adversarial,deepseek-ai/DeepSeek-V4-Flash-0731,2,512,1.0,0.95,8,33,0,,7020,180,39.0,11.44,29.72,10.68,2168.0,10899.0,33,179.9,usage,0,0,42.8,41.4,67.0,,2476.0,2483.0,none,40
2026-08-22T06:14:48.657847+00:00,a1a786d,tp2-b12x-42b3a79,TP2 dspark-k5 recipe-defaults,adversarial,deepseek-ai/DeepSeek-V4-Flash-0731,3,512,1.0,0.95,1,4,0,,723,180,4.02,9.64,42.37,9.41,1444.0,,4,215.9,usage,0,0,45.5,41.9,65.0,,2476.0,2502.0,none,38
2026-08-22T06:19:36.485169+00:00,a1a786d,tp2-b12x-42b3a79,TP2 dspark-k5 recipe-defaults,adversarial,deepseek-ai/DeepSeek-V4-Flash-0731,3,512,1.0,0.95,8,33,0,,7348,180,40.82,11.47,40.49,11.01,1605.0,7046.0,33,183.4,usage,0,0,43.5,41.2,64.0,,2476.0,2496.0,none,44
