timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-09T10:43:06.715841+00:00,15e15e5,llamacpp-687e778,"dspark=n3,ctx=393216/12slots,RECORD",draftable,deepseek-v4-flash,1,512,1.0,0.95,8,16,0,,7114,180,39.52,5.35,33.1,5.22,3790.0,4216.0,16,0.1,usage,0,0,79.7,63.9,78.0,,2405.0,2463.0,none,38
2026-08-09T10:47:52.214999+00:00,15e15e5,llamacpp-687e778,"dspark=n3,ctx=393216/12slots,RECORD",draftable,deepseek-v4-flash,2,512,1.0,0.95,8,16,0,,7268,180,40.38,5.41,40.12,5.23,3380.0,4309.0,16,0.1,usage,0,0,80.8,65.7,82.0,,2411.0,2463.0,none,38
2026-08-09T10:53:11.580113+00:00,15e15e5,llamacpp-687e778,"dspark=n3,ctx=393216/12slots,RECORD",draftable,deepseek-v4-flash,3,512,1.0,0.95,8,17,0,,6888,180,38.27,5.11,38.86,4.92,2599.0,4204.0,17,0.1,usage,0,0,75.9,63.9,81.0,,2353.0,2463.0,none,42
