timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-08T16:38:16.501663+00:00,bbad5a0,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,1,11,0,,5411,180,30.06,33.23,118.98,30.47,964.0,1368.0,11,3.6,usage,0,0,66.5,62.1,69.0,,2470.0,2483.0,none,34
2026-08-08T16:42:00.989381+00:00,bbad5a0,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,2,14,0,,5606,180,31.14,16.23,117.69,15.77,925.0,1628.0,14,60.8,usage,0,0,88.2,53.5,71.0,,2463.0,2483.0,none,36
2026-08-08T16:46:16.346109+00:00,bbad5a0,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,4,20,0,,8264,180,45.91,11.91,112.29,11.65,961.0,2725.0,20,80.5,usage,0,0,72.2,61.5,72.0,,2457.0,2476.0,none,40
2026-08-08T16:50:55.884573+00:00,bbad5a0,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,8,25,0,,10105,180,56.14,7.36,83.12,7.21,1547.0,5985.0,25,128.6,usage,0,0,89.2,74.0,77.0,,2431.0,2457.0,none,40
2026-08-08T16:56:16.780810+00:00,bbad5a0,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,12,27,0,,10024,180,55.69,4.9,51.74,4.76,2393.0,9198.0,27,193.3,usage,4,0,88.8,59.0,76.0,,2450.0,2483.0,none,42
