timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-08T17:48:18.643421+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",adversarial,deepseek-v4-flash,1,512,1.0,0.95,1,8,0,,3907,180,21.71,22.28,107.01,21.8,531.0,,8,44.9,usage,0,0,63.9,41.6,69.0,,2483.0,2502.0,none,35
2026-08-08T17:52:31.900350+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",adversarial,deepseek-v4-flash,1,512,1.0,0.95,4,20,0,,8663,180,48.13,12.55,56.27,12.11,1114.0,2141.0,20,79.2,usage,0,0,88.0,62.3,72.0,,2457.0,2476.0,none,39
2026-08-08T17:57:04.745447+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",adversarial,deepseek-v4-flash,1,512,1.0,0.95,8,24,0,,10742,180,59.68,7.71,49.83,7.53,1238.0,3714.0,24,125.8,usage,0,0,83.5,73.3,75.0,,2450.0,2457.0,none,38
2026-08-08T18:02:09.829947+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",adversarial,deepseek-v4-flash,1,512,1.0,0.95,12,24,0,,10807,180,60.04,5.15,33.42,5.07,1883.0,6755.0,24,187.7,usage,2,0,83.7,58.8,74.0,,2457.0,2476.0,none,38
