timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-22T12:46:48.270716+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,draftable,deepseek-v4-flash-dspark,1,512,1.0,0.95,1,65,0,,2434,180,13.52,63.8,372.98,56.03,335.0,356.0,65,66.9,usage,0,0,,,,,,,,0
2026-08-22T12:50:31.960369+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,draftable,deepseek-v4-flash-dspark,1,512,1.0,0.95,8,160,0,,6114,180,33.97,20.21,167.81,18.43,714.0,860.0,160,196.4,usage,0,0,,,,,,,,0
2026-08-22T12:54:02.840910+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,draftable,deepseek-v4-flash-dspark,2,512,1.0,0.95,1,58,0,,2476,180,13.76,63.19,367.17,56.15,331.0,357.0,58,66.9,usage,0,0,,,,,,,,0
2026-08-22T12:57:45.778683+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,draftable,deepseek-v4-flash-dspark,2,512,1.0,0.95,8,170,0,,6310,180,35.06,20.0,168.89,18.14,715.0,852.0,170,195.5,usage,0,0,,,,,,,,0
2026-08-22T13:01:24.741086+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,draftable,deepseek-v4-flash-dspark,3,512,1.0,0.95,1,67,0,,2426,180,13.48,62.82,386.55,54.36,332.0,344.0,67,66.8,usage,0,0,,,,,,,,0
2026-08-22T13:05:14.658945+00:00,,mia-settled,thinkoff nvfp4kv 1M seqs12 batched8192,draftable,deepseek-v4-flash-dspark,3,512,1.0,0.95,8,171,0,,6258,180,34.77,19.6,165.88,17.72,718.0,856.0,171,196.1,usage,0,0,,,,,,,,0
