timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-24T15:29:05.581743+00:00,,tp2-mia-csweep,1M seqs12 aggregate-sweep k1029,adversarial,deepseek-v4-flash-dspark,1,512,1.0,0.95,8,40,0,,8417,180,46.76,12.7,105.95,12.53,607.0,687.0,40,163.1,usage,0,0,,,,,,,,0
2026-08-24T15:33:18.213610+00:00,,tp2-mia-csweep,1M seqs12 aggregate-sweep k1029,adversarial,deepseek-v4-flash-dspark,1,512,1.0,0.95,12,48,0,,10679,180,59.33,10.67,87.08,10.51,745.0,799.0,48,194.3,usage,0,0,,,,,,,,0
2026-08-24T15:37:24.197555+00:00,,tp2-mia-csweep,1M seqs12 aggregate-sweep k1029,adversarial,deepseek-v4-flash-dspark,2,512,1.0,0.95,8,40,0,,8616,180,47.87,12.86,111.61,12.7,581.0,687.0,40,162.3,usage,0,0,,,,,,,,0
2026-08-24T15:41:38.023879+00:00,,tp2-mia-csweep,1M seqs12 aggregate-sweep k1029,adversarial,deepseek-v4-flash-dspark,2,512,1.0,0.95,12,49,0,,10704,180,59.47,10.75,93.07,10.6,735.0,776.0,49,194.2,usage,0,0,,,,,,,,0
2026-08-24T15:45:40.951259+00:00,,tp2-mia-csweep,1M seqs12 aggregate-sweep k1029,adversarial,deepseek-v4-flash-dspark,3,512,1.0,0.95,8,40,0,,8568,180,47.6,12.91,113.64,12.75,582.0,700.0,40,161.6,usage,0,0,,,,,,,,0
2026-08-24T15:49:46.648121+00:00,,tp2-mia-csweep,1M seqs12 aggregate-sweep k1029,adversarial,deepseek-v4-flash-dspark,3,512,1.0,0.95,12,48,0,,10667,180,59.26,10.73,92.76,10.57,681.0,801.0,48,195.3,usage,0,0,,,,,,,,0
