timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-09T08:55:01.093158+00:00,fb576ab,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD",adversarial,deepseek-v4-flash,1,512,1.0,0.95,8,16,0,,7872,180,43.73,5.62,31.94,5.51,1875.0,4798.0,16,169.4,usage,0,0,85.1,55.4,72.0,,2457.0,2476.0,none,34
2026-08-09T09:00:56.536930+00:00,fb576ab,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD",adversarial,deepseek-v4-flash,2,512,1.0,0.95,8,16,0,,5631,180,31.28,3.98,41.0,3.94,1507.0,4658.0,16,170.5,usage,0,0,85.4,63.0,74.0,,2444.0,2476.0,none,48
2026-08-09T09:05:58.419434+00:00,fb576ab,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD",adversarial,deepseek-v4-flash,3,512,1.0,0.95,8,16,0,,7685,180,42.69,5.21,41.51,5.09,1508.0,4254.0,16,170.9,usage,0,0,80.9,56.2,72.0,,2457.0,2476.0,none,37
