timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-22T08:57:40.153422+00:00,53c6657,tp2-settled,postcycle fp8kv probabilistic seqs12 lpt1024 async UCXfix,draftable,deepseek-ai/DeepSeek-V4-Flash-0731,1,512,1.0,0.95,1,65,0,,2350,180,13.06,63.37,335.49,53.7,360.0,406.0,65,68.2,usage,0,0,41.0,38.4,73.0,,2457.0,2483.0,none,34
2026-08-22T09:01:30.407244+00:00,53c6657,tp2-settled,postcycle fp8kv probabilistic seqs12 lpt1024 async UCXfix,draftable,deepseek-ai/DeepSeek-V4-Flash-0731,1,512,1.0,0.95,8,181,0,,5926,180,32.92,19.3,158.6,17.12,752.0,923.0,181,200.7,usage,0,0,50.6,46.1,77.0,,2457.0,2476.0,none,35
2026-08-22T09:05:02.998161+00:00,53c6657,tp2-settled,postcycle fp8kv probabilistic seqs12 lpt1024 async UCXfix,draftable,deepseek-ai/DeepSeek-V4-Flash-0731,2,512,1.0,0.95,1,63,0,,2361,180,13.12,64.02,337.55,54.66,362.0,436.0,63,68.1,usage,0,0,41.0,38.4,72.0,,2470.0,2483.0,none,33
2026-08-22T09:08:48.419985+00:00,53c6657,tp2-settled,postcycle fp8kv probabilistic seqs12 lpt1024 async UCXfix,draftable,deepseek-ai/DeepSeek-V4-Flash-0731,2,512,1.0,0.95,8,178,0,,6056,180,33.64,19.62,160.09,17.28,746.0,901.0,178,199.6,usage,0,0,48.9,45.6,73.0,,2457.0,2476.0,none,34
2026-08-22T09:12:19.992235+00:00,53c6657,tp2-settled,postcycle fp8kv probabilistic seqs12 lpt1024 async UCXfix,draftable,deepseek-ai/DeepSeek-V4-Flash-0731,3,512,1.0,0.95,1,68,0,,2344,180,13.02,63.39,340.68,53.6,358.0,410.0,68,68.3,usage,0,0,40.6,38.6,71.0,,2470.0,2483.0,none,34
2026-08-22T09:16:05.839529+00:00,53c6657,tp2-settled,postcycle fp8kv probabilistic seqs12 lpt1024 async UCXfix,draftable,deepseek-ai/DeepSeek-V4-Flash-0731,3,512,1.0,0.95,8,172,0,,5999,180,33.33,18.82,161.5,16.98,756.0,901.0,172,201.4,usage,0,0,47.2,45.2,74.0,,2457.0,2476.0,none,35
