timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-10T09:35:57.787072+00:00,,spark2-llamacpp,"spec=off,ctx=393216/12slots,REPLICA",adversarial,deepseek-v4-flash,1,512,1.0,0.95,12,36,0,,12288,180,68.27,5.91,25.45,5.76,2553.0,2609.0,36,170.9,usage,0,0,75.4,62.7,72.0,,2457.0,2502.0,none,54
2026-08-10T09:41:57.159452+00:00,,spark2-llamacpp,"spec=off,ctx=393216/12slots,REPLICA",adversarial,deepseek-v4-flash,2,512,1.0,0.95,12,36,0,,12288,180,68.27,5.88,25.08,5.71,2507.0,2825.0,36,171.4,usage,0,0,74.6,63.9,74.0,,2444.0,2483.0,none,54
2026-08-10T09:47:54.877057+00:00,,spark2-llamacpp,"spec=off,ctx=393216/12slots,REPLICA",adversarial,deepseek-v4-flash,3,512,1.0,0.95,12,36,0,,12312,180,68.4,5.92,24.82,5.77,2541.0,2683.0,36,171.4,usage,0,0,69.5,63.5,72.0,,2463.0,2483.0,none,54
