timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-21T08:23:53.568711+00:00,2078bcb,ds4-v0.5.6.3-nohold,vmm12288 holdshed0,draftable,deepseek-v4-flash,1,512,1.0,0.95,8,24,0,,8169,180,45.38,11.78,2.91,5.79,45012.0,47621.0,24,80.8,usage,180,0,89.7,64.3,81.0,,2444.0,2457.0,none,45
2026-08-21T08:29:35.824399+00:00,2078bcb,ds4-v0.5.6.3-nohold,vmm12288 holdshed0,draftable,deepseek-v4-flash,2,512,1.0,0.95,8,24,0,,8108,180,45.04,11.7,2.89,5.86,43140.0,47547.0,24,81.3,usage,180,0,85.6,64.9,83.0,,2398.0,2463.0,none,45
2026-08-21T08:35:20.355195+00:00,2078bcb,ds4-v0.5.6.3-nohold,vmm12288 holdshed0,draftable,deepseek-v4-flash,3,512,1.0,0.95,8,24,0,,8200,180,45.56,11.84,2.94,5.79,45303.0,47151.0,24,80.8,usage,179,0,90.0,63.7,79.0,,2437.0,2476.0,none,46
