timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-15T14:24:00.957778+00:00,34e31d9,ablit-q128-target,target-only ctx16384 1slot,adversarial,default,1,512,1.0,0.95,1,3,0,,1328,180,7.38,16.11,1.69,7.97,32566.0,,3,60.5,usage,0,0,60.1,44.8,69.0,,2470.0,2496.0,none,36
2026-08-15T14:28:16.806794+00:00,34e31d9,ablit-q128-target,target-only ctx16384 1slot,adversarial,default,2,512,1.0,0.95,1,3,0,,1345,180,7.47,16.24,1.7,8.0,32461.0,,3,60.3,usage,0,0,57.3,44.4,67.0,,2470.0,2496.0,none,36
2026-08-15T14:32:31.638482+00:00,34e31d9,ablit-q128-target,target-only ctx16384 1slot,adversarial,default,3,512,1.0,0.95,1,3,0,,1355,180,7.53,16.3,1.7,8.04,32340.0,,3,60.3,usage,0,0,57.2,44.6,64.0,,2476.0,2496.0,none,36
