timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-09T19:26:12.579478+00:00,,spark2-ds4-v0.5.6,"dspark=off,ctx=32768,PARITY",adversarial,deepseek-v4-flash,1,512,1.0,0.95,12,24,0,,10287,180,57.15,4.95,31.21,4.85,2013.0,7643.0,24,195.0,usage,3,0,78.5,56.2,70.0,,2470.0,2489.0,none,43
2026-08-09T19:31:27.325310+00:00,,spark2-ds4-v0.5.6,"dspark=off,ctx=32768,PARITY",adversarial,deepseek-v4-flash,2,512,1.0,0.95,12,24,0,,10452,180,58.07,5.0,30.71,4.92,1957.0,7087.0,24,194.0,usage,2,0,78.7,58.3,74.0,,2418.0,2476.0,none,42
2026-08-09T19:36:38.755896+00:00,,spark2-ds4-v0.5.6,"dspark=off,ctx=32768,PARITY",adversarial,deepseek-v4-flash,3,512,1.0,0.95,12,24,0,,10540,180,58.56,5.04,29.59,4.97,2077.0,6251.0,24,191.5,usage,2,0,80.6,57.9,71.0,,2457.0,2476.0,none,42
