timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-08T17:30:03.424375+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",draftable,deepseek-v4-flash,1,512,1.0,0.95,1,8,0,,3869,180,21.49,22.32,129.24,21.55,866.0,,8,44.8,usage,0,0,73.7,42.5,67.0,,2470.0,2502.0,none,35
2026-08-08T17:34:17.377410+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",draftable,deepseek-v4-flash,1,512,1.0,0.95,4,20,0,,8349,180,46.38,12.17,93.71,11.76,1384.0,2713.0,20,79.7,usage,0,0,74.5,62.4,76.0,,2444.0,2483.0,none,39
2026-08-08T17:38:58.852363+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",draftable,deepseek-v4-flash,1,512,1.0,0.95,8,24,0,,10194,180,56.63,7.45,58.77,7.17,2224.0,5972.0,24,128.6,usage,0,0,91.4,74.6,78.0,,2431.0,2457.0,none,39
2026-08-08T17:44:23.414227+00:00,11054e5,ds4-v0.5.6,"dspark=off,ctx=32768",draftable,deepseek-v4-flash,1,512,1.0,0.95,12,27,0,,10233,180,56.85,5.04,43.23,4.85,3122.0,9037.0,27,189.0,usage,4,0,88.5,59.2,73.0,,2450.0,2483.0,none,41
