timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-09T12:07:34.222611+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,1,512,1.0,0.95,1,8,0,,3888,180,21.6,21.91,104.95,21.37,570.0,,8,26.1,usage,0,0,67.4,54.5,71.0,,2463.0,2483.0,none,35
2026-08-09T12:12:16.515694+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,1,512,1.0,0.95,8,24,0,,10355,180,57.53,7.49,38.82,7.35,1674.0,4642.0,24,128.7,usage,0,0,83.6,72.1,76.0,,2450.0,2476.0,none,39
2026-08-09T12:17:34.717814+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,1,512,1.0,0.95,12,24,0,,10399,180,57.77,4.94,34.03,4.88,1904.0,6289.0,24,195.1,usage,2,0,78.5,57.4,74.0,,2457.0,2476.0,none,39
2026-08-09T12:21:28.876016+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,2,512,1.0,0.95,1,8,0,,3998,180,22.21,21.95,99.27,21.45,597.0,,8,45.8,usage,0,0,69.1,58.6,70.0,,2463.0,2483.0,none,34
2026-08-09T12:26:07.110660+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,2,512,1.0,0.95,8,24,0,,10562,180,58.68,7.58,50.59,7.46,1196.0,4620.0,24,127.2,usage,0,0,84.2,72.6,76.0,,2450.0,2463.0,none,39
2026-08-09T12:31:24.501670+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,2,512,1.0,0.95,12,24,0,,10375,180,57.64,4.97,35.71,4.87,1739.0,7014.0,24,195.4,usage,2,0,80.3,57.4,73.0,,2457.0,2476.0,none,39
2026-08-09T12:35:14.931288+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,3,512,1.0,0.95,1,8,0,,4022,180,22.34,22.44,107.56,21.85,560.0,,8,5.5,usage,0,0,73.0,57.9,71.0,,2457.0,2483.0,none,34
2026-08-09T12:39:53.380153+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,3,512,1.0,0.95,8,24,0,,10552,180,58.62,7.57,37.79,7.43,1711.0,3925.0,24,127.2,usage,0,0,81.2,72.7,75.0,,2450.0,2457.0,none,39
2026-08-09T12:45:09.849830+00:00,8770a23,ds4-v0.5.6,"dspark=on,ctx=32768,RECORD2",adversarial,deepseek-v4-flash,3,512,1.0,0.95,12,24,0,,10428,180,57.93,5.0,23.89,4.9,2418.0,6987.0,24,194.2,usage,2,0,79.6,57.8,74.0,,2457.0,2476.0,none,39
