timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-21T08:04:28.206557+00:00,2078bcb,ds4-v0.5.6.3-budget,candidate vmm12288,draftable,deepseek-v4-flash,1,512,1.0,0.95,8,23,0,,8163,180,45.35,11.83,2.86,5.77,45447.0,47983.0,23,81.2,usage,175,0,90.1,62.4,78.0,,2307.0,2476.0,none,46
2026-08-21T08:10:07.323179+00:00,2078bcb,ds4-v0.5.6.3-budget,candidate vmm12288,draftable,deepseek-v4-flash,2,512,1.0,0.95,8,23,0,,8158,180,45.32,11.73,2.89,5.77,45284.0,46868.0,23,81.3,usage,174,0,82.0,65.6,83.0,,2411.0,2463.0,none,43
2026-08-21T08:15:55.992745+00:00,2078bcb,ds4-v0.5.6.3-budget,candidate vmm12288,draftable,deepseek-v4-flash,3,512,1.0,0.95,8,24,0,,8165,180,45.36,11.86,2.83,5.75,45408.0,47764.0,24,80.7,usage,192,0,82.6,64.3,81.0,,2424.0,2476.0,none,46
