timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-08T16:29:40.426432+00:00,b9a8ed7,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,1,3,0,,1505,60,25.08,26.77,74.06,24.26,1713.0,,3,4.9,usage,0,0,,,,,,,,0
2026-08-08T16:31:15.271033+00:00,b9a8ed7,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,2,4,0,,1844,60,30.73,16.55,58.95,15.52,2085.0,,4,60.2,usage,0,0,,,,,,,,0
2026-08-08T16:33:26.931719+00:00,b9a8ed7,ds4-v0.5.6,"dspark=on,ctx=32768,ship-defaults",draftable,deepseek-v4-flash,1,512,1.0,0.95,4,8,0,,2672,60,44.53,12.45,45.81,11.58,2526.0,,8,80.1,usage,0,0,,,,,,,,0
