timestamp_utc,git_hash,engine,engine_config,workload,model,repeat,max_tokens,temperature,top_p,concurrency,requests_ok,requests_err,first_error_ts,tokens_in_window,window_s,aggregate_tok_s,decode_tok_s_median,prefill_tok_s_median,per_stream_wall_tok_s_median,ttft_p50_ms,ttft_p95_ms,ttft_samples,itl_p50_ms,token_source,skipped_sse_lines,truncated_streams,power_w_max,power_w_mean,temp_c_max,mem_used_mib_max,sm_clock_min,sm_clock_max,throttle_seen,gpu_samples
2026-08-09T10:29:10.085527+00:00,15e15e5,llamacpp-687e778,"spec=off,ctx=393216/12slots,RECORD",adversarial,deepseek-v4-flash,1,512,1.0,0.95,1,7,0,,3507,180,19.48,19.82,116.47,19.49,478.0,,7,49.9,usage,0,0,63.0,52.3,76.0,,2450.0,2483.0,none,34
2026-08-09T10:33:03.619435+00:00,15e15e5,llamacpp-687e778,"spec=off,ctx=393216/12slots,RECORD",adversarial,deepseek-v4-flash,2,512,1.0,0.95,1,7,0,,3554,180,19.74,19.81,441.8,19.76,125.0,,7,49.9,usage,0,0,52.0,51.5,73.0,,2450.0,2483.0,none,34
2026-08-09T10:36:57.113935+00:00,15e15e5,llamacpp-687e778,"spec=off,ctx=393216/12slots,RECORD",adversarial,deepseek-v4-flash,3,512,1.0,0.95,1,7,0,,3556,180,19.76,19.82,450.35,19.76,123.0,,7,49.9,usage,0,0,52.1,51.6,72.0,,2463.0,2483.0,none,34
